%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 2 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 87.00 8.90 99.23 0.00 0.00 -999.00 342.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 0.00
1985 2 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 87.00 8.80 99.23 0.00 0.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 351.00
1985 2 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 85.00 8.60 99.23 0.00 0.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 344.00
1985 3 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 85.00 8.50 99.23 0.00 0.00 -999.00 343.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 344.00
1985 3 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 86.00 8.70 99.23 0.00 0.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 345.00
1985 3 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 86.00 8.60 99.23 0.00 0.00 -999.00 340.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 343.00
1985 3 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 87.00 8.30 99.23 0.00 0.00 -999.00 337.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 343.00
1985 3 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 89.00 8.20 99.23 0.00 0.00 -999.00 332.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 344.00
1985 3 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 91.00 7.40 99.23 0.00 0.00 -999.00 306.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 346.00
1985 3 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 92.00 7.20 99.23 0.00 0.00 -999.00 312.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 353.00
1985 3 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 93.00 6.90 99.23 0.00 0.00 -999.00 300.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 5.00
1985 3 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 93.00 6.70 99.23 0.00 0.00 -999.00 306.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 1.00
1985 3 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 93.00 6.90 99.23 0.00 60.00 -999.00 291.00 -999.00 -999.00 -999.00 -999.00 29.00 159.00 353.00
1985 3 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.30000 91.00 8.40 99.23 0.00 154.00 -999.00 292.00 -999.00 -999.00 -999.00 -999.00 72.00 340.00 354.00
1985 3 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 85.00 10.20 99.23 0.00 207.00 -999.00 303.00 -999.00 -999.00 -999.00 -999.00 107.00 300.00 2.00
1985 3 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.30000 83.00 10.50 99.23 0.00 221.00 -999.00 337.00 -999.00 -999.00 -999.00 -999.00 121.00 244.00 34.00
1985 3 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.30000 84.00 10.70 99.23 0.00 229.00 -999.00 335.00 -999.00 -999.00 -999.00 -999.00 131.00 229.00 26.00
1985 3 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.30000 83.00 11.00 99.23 0.00 204.00 -999.00 340.00 -999.00 -999.00 -999.00 -999.00 128.00 186.00 6.00
1985 3 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.50000 81.00 11.40 99.23 0.00 150.00 -999.00 348.00 -999.00 -999.00 -999.00 -999.00 99.00 149.00 33.00
1985 3 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 81.00 11.60 99.23 0.00 87.00 -999.00 332.00 -999.00 -999.00 -999.00 -999.00 58.00 132.00 53.00
1985 3 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 85.00 11.30 99.23 0.00 30.00 -999.00 339.00 -999.00 -999.00 -999.00 -999.00 19.00 66.00 59.00
1985 3 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 86.00 10.80 99.23 0.00 2.00 -999.00 341.00 -999.00 -999.00 -999.00 -999.00 2.00 0.00 60.00
1985 3 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 86.00 11.00 99.23 0.00 0.00 -999.00 343.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 59.00
1985 3 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 88.00 11.00 99.23 0.20 0.00 -999.00 348.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 66.00
1985 3 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 90.00 11.00 99.23 0.40 0.00 -999.00 347.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 77.00
1985 3 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.10000 90.00 11.10 99.23 0.70 0.00 -999.00 343.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 90.00
1985 3 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 90.00 10.70 99.23 1.20 0.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 88.00
1985 4 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.30000 90.00 10.90 99.23 1.60 0.00 -999.00 355.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 89.00
1985 4 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.00000 91.00 10.90 99.23 1.60 0.00 -999.00 355.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 84.00
1985 4 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.20000 90.00 10.80 99.23 1.00 0.00 -999.00 354.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 78.00
1985 4 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.40000 89.00 10.70 99.23 0.70 0.00 -999.00 354.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 71.00
1985 4 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.50000 87.00 10.50 99.23 0.70 0.00 -999.00 351.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 64.00
1985 4 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.80000 87.00 10.40 99.23 0.70 0.00 -999.00 348.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 61.00
1985 4 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.10000 86.00 10.40 99.23 0.60 0.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 60.00
1985 4 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.30000 87.00 10.40 99.23 0.50 0.00 -999.00 345.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 62.00
1985 4 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 87.00 10.30 99.23 0.70 0.00 -999.00 343.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 65.00
1985 4 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.30000 88.00 10.30 99.23 0.90 19.00 -999.00 347.00 -999.00 -999.00 -999.00 -999.00 17.00 11.00 66.00
1985 4 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.70000 88.00 10.30 99.23 0.80 45.00 -999.00 346.00 -999.00 -999.00 -999.00 -999.00 41.00 20.00 70.00
1985 4 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.80000 85.00 10.10 99.23 0.90 63.00 -999.00 345.00 -999.00 -999.00 -999.00 -999.00 56.00 20.00 69.00
1985 4 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.60000 84.00 10.00 99.23 0.80 99.00 -999.00 340.00 -999.00 -999.00 -999.00 -999.00 82.00 40.00 75.00
1985 4 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.80000 79.00 10.10 99.23 0.30 108.00 -999.00 344.00 -999.00 -999.00 -999.00 -999.00 90.00 41.00 78.00
1985 4 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.50000 75.00 10.10 99.23 0.10 104.00 -999.00 338.00 -999.00 -999.00 -999.00 -999.00 88.00 42.00 82.00
1985 4 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.90000 71.00 10.00 99.23 0.00 106.00 -999.00 322.00 -999.00 -999.00 -999.00 -999.00 85.00 61.00 83.00
1985 4 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.40000 69.00 9.90 99.23 0.00 65.00 -999.00 332.00 -999.00 -999.00 -999.00 -999.00 53.00 52.00 84.00
1985 4 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.60000 68.00 9.80 99.23 0.00 22.00 -999.00 325.00 -999.00 -999.00 -999.00 -999.00 19.00 21.00 84.00
1985 4 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.00000 67.00 9.70 99.23 0.00 2.00 -999.00 331.00 -999.00 -999.00 -999.00 -999.00 2.00 0.00 82.00
1985 4 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 69.00 9.20 99.23 0.00 0.00 -999.00 312.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
1985 4 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 69.00 9.30 99.23 0.00 0.00 -999.00 325.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 75.00
1985 4 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.40000 71.00 9.00 99.23 0.00 0.00 -999.00 321.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 70.00
1985 4 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 75.00 8.30 99.23 0.00 0.00 -999.00 296.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 67.00
1985 4 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 74.00 7.70 99.23 0.00 0.00 -999.00 290.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 56.00
1985 5 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 75.00 7.70 99.23 0.00 0.00 -999.00 302.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 54.00
1985 5 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 75.00 7.80 99.23 0.00 0.00 -999.00 305.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 56.00
1985 5 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 76.00 7.60 99.23 0.00 0.00 -999.00 307.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 55.00
1985 5 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 76.00 7.60 99.23 0.00 0.00 -999.00 307.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 55.00
1985 5 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.30000 78.00 7.60 99.23 0.00 0.00 -999.00 304.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 53.00
1985 5 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 78.00 7.70 99.23 0.00 0.00 -999.00 312.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 48.00
1985 5 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 78.00 7.50 99.23 0.00 0.00 -999.00 304.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 50.00
1985 5 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 79.00 7.40 99.23 0.00 0.00 -999.00 302.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 49.00
1985 5 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 78.00 7.30 99.23 0.00 0.00 -999.00 305.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 45.00
1985 5 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 77.00 7.90 99.23 0.00 49.00 -999.00 310.00 -999.00 -999.00 -999.00 -999.00 27.00 117.00 38.00
1985 5 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 77.00 8.30 99.23 0.00 116.00 -999.00 300.00 -999.00 -999.00 -999.00 -999.00 56.00 247.00 36.00
1985 5 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 74.00 9.40 99.23 0.00 200.00 -999.00 303.00 -999.00 -999.00 -999.00 -999.00 81.00 334.00 28.00
1985 5 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 72.00 9.90 99.23 0.00 252.00 -999.00 297.00 -999.00 -999.00 -999.00 -999.00 101.00 371.00 44.00
