folder_name,area,width,mean_building_height,mean_building_height_side1,mean_building_height_side2,lh_ratio,direction,mrt_mean,mrt_min,mrt_max,dir_sin,dir_cos
width50_deg000_h10to15,5000.0,50.0,12.5,10,15,4.0,0,35.57,30.2,36.44,0.0,1.0
width50_deg000_h10to20,5000.0,50.0,15.0,10,20,3.3333333333333335,0,35.59,30.26,36.49,0.0,1.0
width50_deg000_h10to25,5000.0,50.0,17.5,10,25,2.857142857142857,0,35.63,30.28,36.5,0.0,1.0
width50_deg000_h10to30,5000.0,50.0,20.0,10,30,2.5,0,35.67,30.35,36.64,0.0,1.0
width50_deg000_h15to15,5000.0,50.0,15.0,15,15,3.3333333333333335,0,35.47,30.19,36.52,0.0,1.0
width50_deg000_h15to20,5000.0,50.0,17.5,15,20,2.857142857142857,0,35.5,30.25,36.59,0.0,1.0
width50_deg000_h15to25,5000.0,50.0,20.0,15,25,2.5,0,35.55,30.27,36.61,0.0,1.0
width50_deg000_h15to30,5000.0,50.0,22.5,15,30,2.2222222222222223,0,35.6,30.35,36.72,0.0,1.0
width50_deg000_h20to20,5000.0,50.0,20.0,20,20,2.5,0,35.36,30.16,36.58,0.0,1.0
width50_deg000_h20to25,5000.0,50.0,22.5,20,25,2.2222222222222223,0,35.41,30.18,36.61,0.0,1.0
width50_deg000_h20to30,5000.0,50.0,25.0,20,30,2.0,0,35.47,30.26,36.75,0.0,1.0
width50_deg000_h25to25,5000.0,50.0,25.0,25,25,2.0,0,35.29,30.1,36.7,0.0,1.0
width50_deg000_h25to30,5000.0,50.0,27.5,25,30,1.8181818181818181,0,35.35,30.18,36.78,0.0,1.0
width50_deg000_h30to30,5000.0,50.0,30.0,30,30,1.6666666666666667,0,35.23,30.11,36.95,0.0,1.0
width50_deg000_h5to10,5000.0,50.0,7.5,5,10,6.666666666666667,0,35.75,30.22,36.36,0.0,1.0
width50_deg000_h5to15,5000.0,50.0,10.0,5,15,5.0,0,35.72,30.21,36.42,0.0,1.0
width50_deg000_h5to20,5000.0,50.0,12.5,5,20,4.0,0,35.74,30.26,36.42,0.0,1.0
width50_deg000_h5to25,5000.0,50.0,15.0,5,25,3.3333333333333335,0,35.78,30.28,36.47,0.0,1.0
width50_deg000_h5to30,5000.0,50.0,17.5,5,30,2.857142857142857,0,35.81,30.35,36.63,0.0,1.0
width50_deg000_h5to5,5000.0,50.0,5.0,5,5,10.0,0,35.87,30.19,36.34,0.0,1.0
width50_deg030_h10to10,5000.000000000004,50.0,10.0,10,10,5.0,30,34.89,29.36,36.81,0.49999999999999994,0.8660254037844387
width50_deg030_h10to15,5000.000000000004,50.0,12.5,10,15,4.0,30,34.74,29.35,36.98,0.49999999999999994,0.8660254037844387
width50_deg030_h10to20,5000.000000000004,50.0,15.0,10,20,3.3333333333333335,30,34.62,29.42,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h10to25,5000.000000000004,50.0,17.5,10,25,2.857142857142857,30,34.51,28.78,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h10to30,5000.000000000004,50.0,20.0,10,30,2.5,30,34.5,28.9,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h15to15,5000.000000000004,50.0,15.0,15,15,3.3333333333333335,30,34.47,29.34,36.98,0.49999999999999994,0.8660254037844387
width50_deg030_h15to20,5000.000000000004,50.0,17.5,15,20,2.857142857142857,30,34.36,29.42,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h15to25,5000.000000000004,50.0,20.0,15,25,2.5,30,34.25,28.78,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h15to30,5000.000000000004,50.0,22.5,15,30,2.2222222222222223,30,34.24,28.9,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h20to20,5000.000000000004,50.0,20.0,20,20,2.5,30,34.08,29.32,37.07,0.49999999999999994,0.8660254037844387
width50_deg030_h20to25,5000.000000000004,50.0,22.5,20,25,2.2222222222222223,30,33.99,28.69,37.07,0.49999999999999994,0.8660254037844387
width50_deg030_h20to30,5000.000000000004,50.0,25.0,20,30,2.0,30,33.98,28.8,37.07,0.49999999999999994,0.8660254037844387
width50_deg030_h25to25,5000.000000000004,50.0,25.0,25,25,2.0,30,33.74,28.64,37.07,0.49999999999999994,0.8660254037844387
width50_deg030_h25to30,5000.000000000004,50.0,27.5,25,30,1.8181818181818181,30,33.74,28.76,37.07,0.49999999999999994,0.8660254037844387
width50_deg030_h30to30,5000.000000000004,50.0,30.0,30,30,1.6666666666666667,30,33.52,28.69,37.1,0.49999999999999994,0.8660254037844387
width50_deg030_h5to10,5000.000000000004,50.0,7.5,5,10,6.666666666666667,30,35.22,29.45,36.79,0.49999999999999994,0.8660254037844387
width50_deg030_h5to15,5000.000000000004,50.0,10.0,5,15,5.0,30,35.06,29.44,36.97,0.49999999999999994,0.8660254037844387
width50_deg030_h5to20,5000.000000000004,50.0,12.5,5,20,4.0,30,34.95,29.49,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h5to25,5000.000000000004,50.0,15.0,5,25,3.3333333333333335,30,34.84,28.85,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h5to30,5000.000000000004,50.0,17.5,5,30,2.857142857142857,30,34.81,28.91,37.03,0.49999999999999994,0.8660254037844387
width50_deg030_h5to5,5000.000000000004,50.0,5.0,5,5,10.0,30,35.49,29.76,36.56,0.49999999999999994,0.8660254037844387
width50_deg060_h10to10,5000.000000000002,50.0,10.0,10,10,5.0,60,33.81,30.17,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h10to15,5000.000000000002,50.0,12.5,10,15,4.0,60,33.42,30.14,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h10to20,5000.000000000002,50.0,15.0,10,20,3.3333333333333335,60,33.14,29.56,36.39,0.8660254037844386,0.5000000000000001
width50_deg060_h10to25,5000.000000000002,50.0,17.5,10,25,2.857142857142857,60,32.93,29.56,36.39,0.8660254037844386,0.5000000000000001
width50_deg060_h10to30,5000.000000000002,50.0,20.0,10,30,2.5,60,32.74,29.61,36.42,0.8660254037844386,0.5000000000000001
width50_deg060_h15to15,5000.000000000002,50.0,15.0,15,15,3.3333333333333335,60,32.92,30.1,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h15to20,5000.000000000002,50.0,17.5,15,20,2.857142857142857,60,32.65,29.52,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h15to25,5000.000000000002,50.0,20.0,15,25,2.5,60,32.44,29.52,36.34,0.8660254037844386,0.5000000000000001
width50_deg060_h15to30,5000.000000000002,50.0,22.5,15,30,2.2222222222222223,60,32.26,29.11,36.34,0.8660254037844386,0.5000000000000001
width50_deg060_h20to20,5000.000000000002,50.0,20.0,20,20,2.5,60,32.23,29.44,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h20to25,5000.000000000002,50.0,22.5,20,25,2.2222222222222223,60,32.02,29.44,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h20to30,5000.000000000002,50.0,25.0,20,30,2.0,60,31.85,29.04,36.34,0.8660254037844386,0.5000000000000001
width50_deg060_h25to25,5000.000000000002,50.0,25.0,25,25,2.0,60,31.64,29.38,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h25to30,5000.000000000002,50.0,27.5,25,30,1.8181818181818181,60,31.48,29.01,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h30to30,5000.000000000002,50.0,30.0,30,30,1.6666666666666667,60,31.18,28.94,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h5to10,5000.000000000002,50.0,7.5,5,10,6.666666666666667,60,34.44,30.2,36.33,0.8660254037844386,0.5000000000000001
width50_deg060_h5to15,5000.000000000002,50.0,10.0,5,15,5.0,60,34.04,30.17,36.34,0.8660254037844386,0.5000000000000001
width50_deg060_h5to20,5000.000000000002,50.0,12.5,5,20,4.0,60,33.76,29.58,36.41,0.8660254037844386,0.5000000000000001
width50_deg060_h5to25,5000.000000000002,50.0,15.0,5,25,3.3333333333333335,60,33.54,29.57,36.41,0.8660254037844386,0.5000000000000001
width50_deg060_h5to30,5000.000000000002,50.0,17.5,5,30,2.857142857142857,60,33.35,29.63,36.44,0.8660254037844386,0.5000000000000001
width50_deg060_h5to5,5000.000000000002,50.0,5.0,5,5,10.0,60,34.93,30.51,36.33,0.8660254037844386,0.5000000000000001
width50_deg090_h10to10,5000.0,50.0,10.0,10,10,5.0,90,33.34,31.24,36.18,1.0,6.123233995736766e-17
